Tanggal,tgl,Value,Status,Color,Persentase
1,1,83.57142857,Mod,#86BCDC,25.81%
2,2,84.96240602,Mod,#86BCDC,25.81%
3,3,103.5894737,UH,#3887C0,74.19%
4,4,131.5473684,UH,#3887C0,74.19%
5,5,111.5684211,UH,#3887C0,74.19%
6,6,108.0105263,UH,#3887C0,74.19%
7,7,132.8105263,UH,#3887C0,74.19%
8,8,139.4736842,UH,#3887C0,74.19%
9,9,170.0315789,UH,#3887C0,74.19%
10,10,148.4315789,UH,#3887C0,74.19%
11,11,138.5157895,UH,#3887C0,74.19%
12,12,117.6421053,UH,#3887C0,74.19%
13,13,113.5052632,UH,#3887C0,74.19%
14,14,132.3473684,UH,#3887C0,74.19%
15,15,119.7894737,UH,#3887C0,74.19%
16,16,99.38596491,Mod,#86BCDC,25.81%
17,17,142.6842105,UH,#3887C0,74.19%
18,18,113.4947368,UH,#3887C0,74.19%
19,19,132.9368421,UH,#3887C0,74.19%
20,20,86.9047619,Mod,#86BCDC,25.81%
21,21,81.54135338,Mod,#86BCDC,25.81%
22,22,126.2736842,UH,#3887C0,74.19%
23,23,158.8105263,UH,#3887C0,74.19%
24,24,99.44862155,Mod,#86BCDC,25.81%
25,25,112.8631579,UH,#3887C0,74.19%
26,26,173.2842105,UH,#3887C0,74.19%
27,27,126.8842105,UH,#3887C0,74.19%
28,28,126.8947368,UH,#3887C0,74.19%
29,29,82.55639098,Mod,#86BCDC,25.81%
30,30,136.2210526,UH,#3887C0,74.19%
31,31,86.44110276,Mod,#86BCDC,25.81%
